[2026-04-01 16:05:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.04
[2026-04-01 16:10:11] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.08
[2026-04-01 16:15:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 16:20:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 16:25:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 16:30:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.01
[2026-04-01 16:35:11] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-04-01 16:40:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 16:45:11] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-04-01 16:50:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 16:55:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 17:00:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 17:05:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 17:10:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 17:15:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 17:20:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 17:25:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 17:30:11] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.00
[2026-04-01 17:35:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 17:40:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 17:45:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 17:50:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 17:55:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 18:00:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 18:05:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.01
[2026-04-01 18:10:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 18:15:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 18:20:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 18:25:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 18:30:12] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.02
[2026-04-01 18:35:12] AEGIS SCAN -> Connexions Actives : 9 | Charge CPU : 0.06
[2026-04-01 18:40:12] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 18:45:12] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 18:50:12] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 18:55:12] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 19:00:12] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 19:05:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 19:10:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 19:15:12] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 19:20:12] AEGIS SCAN -> Connexions Actives : 8 | Charge CPU : 0.00
[2026-04-01 19:25:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.10
[2026-04-01 19:30:12] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 19:35:12] AEGIS SCAN -> Connexions Actives : 11 | Charge CPU : 0.00
[2026-04-01 19:40:12] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 19:45:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.02
[2026-04-01 19:50:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.04
[2026-04-01 19:55:12] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-04-01 20:00:12] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.02
[2026-04-01 20:05:12] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 20:10:12] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.03
[2026-04-01 20:15:12] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 20:20:12] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 20:25:12] AEGIS SCAN -> Connexions Actives : 10 | Charge CPU : 0.00
[2026-04-01 20:30:12] AEGIS SCAN -> Connexions Actives : 10 | Charge CPU : 0.00
